iter	Passed	Remaining
0	30	30899
1	62	31272
2	91	30478
3	123	30834
4	156	31118
5	192	31825
6	226	32178
7	258	32108
8	289	31823
9	319	31633
10	350	31529
11	379	31252
12	412	31286
13	443	31251
14	475	31252
15	505	31092
16	537	31094
17	571	31163
18	602	31110
19	633	31053
20	662	30880
21	692	30787
22	722	30710
23	753	30654
24	787	30701
25	818	30654
26	849	30600
27	882	30623
28	912	30539
29	941	30449
30	973	30421
31	1002	30310
32	1035	30352
33	1066	30305
34	1097	30262
35	1132	30338
36	1168	30414
37	1197	30310
38	1224	30182
39	1256	30153
40	1286	30085
41	1314	29985
42	1348	30022
43	1381	30016
44	1413	29991
45	1445	29979
46	1472	29866
47	1503	29818
48	1535	29792
49	1563	29697
50	1592	29636
51	1622	29578
52	1654	29567
53	1689	29589
54	1716	29494
55	1748	29480
56	1777	29410
57	1810	29409
58	1838	29316
59	1866	29242
60	1900	29252
61	1929	29192
62	1960	29161
63	1992	29143
64	2027	29160
65	2064	29210
66	2095	29187
67	2127	29155
68	2157	29115
69	2193	29146
70	2221	29072
71	2251	29024
72	2280	28963
73	2310	28911
74	2344	28916
75	2375	28882
76	2403	28816
77	2434	28780
78	2466	28751
79	2499	28739
80	2528	28691
81	2561	28674
82	2593	28652
83	2623	28605
84	2650	28536
85	2679	28481
86	2713	28474
87	2744	28447
88	2776	28416
89	2809	28404
90	2844	28411
91	2875	28383
92	2912	28402
93	2939	28333
94	2973	28331
95	3009	28335
96	3038	28282
97	3064	28204
98	3092	28143
99	3122	28099
100	3150	28044
101	3180	28001
102	3209	27951
103	3237	27895
104	3268	27859
105	3298	27822
106	3327	27774
107	3358	27739
108	3389	27707
109	3421	27682
110	3449	27629
111	3479	27588
112	3508	27541
113	3540	27517
114	3572	27496
115	3603	27460
116	3632	27415
117	3661	27367
118	3691	27330
119	3718	27265
120	3743	27192
121	3771	27139
122	3801	27105
123	3830	27061
124	3863	27041
125	3893	27007
126	3925	26982
127	3957	26961
128	3989	26938
129	4021	26914
130	4051	26877
131	4083	26851
132	4111	26801
133	4142	26770
134	4172	26736
135	4210	26750
136	4245	26742
137	4282	26750
138	4313	26721
139	4340	26664
140	4370	26624
141	4398	26574
142	4432	26565
143	4465	26547
144	4492	26488
145	4520	26444
146	4551	26410
147	4579	26360
148	4608	26322
149	4635	26269
150	4666	26235
151	4694	26191
152	4723	26149
153	4755	26124
154	4784	26085
155	4813	26042
156	4841	25993
157	4870	25954
158	4902	25933
159	4931	25890
160	4961	25855
161	4990	25813
162	5019	25773
163	5049	25738
164	5077	25696
165	5107	25661
166	5136	25620
167	5163	25571
168	5193	25537
169	5221	25493
170	5248	25446
171	5276	25400
172	5305	25362
173	5336	25331
174	5365	25296
175	5393	25253
176	5421	25208
177	5449	25165
178	5480	25136
179	5508	25094
180	5538	25061
181	5566	25018
